Image ID,Response time,correctly_detect,true_class
5605719660_5bed05cca3_z.jpg,7c9c0174-b862-4d62-a4ed-2fece82cf2b3,0.3869154453277588,1,person
16679943419_b0fd9b6858_z.jpg,5615c492-036e-4599-8c03-3a07c4838d83,0.3631412982940674,1,bicycle
1428837563_12ec867e05_z.jpg,605ad5db-477f-43ca-8bd6-20f7cea8c66a,0.42420506477355957,1,cat
7548613890_a6272237ac_z.jpg,7502cd55-da24-408c-a574-1cff1a529e52,0.41285157203674316,1,bicycle
5007439610_5bb351fc1f_z.jpg,ef3796b7-fdbd-469e-8591-f0e10737439c,0.40436506271362305,1,car
7675033952_b3caa0dd37_z.jpg,59c79d8e-3f10-4ca8-9cad-700e9317125e,0.41051650047302246,1,bicycle
3666190087_ca2fb0d709_z.jpg,d133cd85-42cb-4ba8-a3ec-1b028244bdb3,0.4113481044769287,1,bicycle
9372235876_d7d69f1790_z.jpg,21f9b36c-c40f-4452-a545-785784ebb2ca,0.4430990219116211,1,cat
412652687_4d6cb46129_z.jpg,0513cef2-ae2d-4bb8-9d15-4ce27c5f4e20,0.4120361804962158,1,cat
361146297_ca9b5c8799_z.jpg,a9208069-11ad-4cf5-8abf-7063aead1b25,0.40561509132385254,1,dog
19283436_772222a19e_z.jpg,51ec767f-7b60-4e40-a8af-d5fd83dafc83,0.403214693069458,1,dog
4065552857_98aa8a39d4_z.jpg,abd7556b-9afa-45bd-9667-9f5289df849a,0.3889486789703369,1,bicycle
2709706154_32ff27825a_z.jpg,a8e8076f-8b30-471f-b00e-9f671a7a80ea,0.4061429500579834,0,cat
5827517048_a890acd7e6_z.jpg,5343ef90-f053-4acc-b704-f0b7d5f11623,0.3585340976715088,0,dog
412652687_4d6cb46129_z.jpg,a894a4bd-349f-4d54-91a8-d9fbaa66ced4,0.4200310707092285,1,cat
1553312291_c0cae48a37_z.jpg,6a79cdfc-9116-47b0-bd75-644c4fc072bb,0.23627853393554688,1,bicycle
5708252159_5b4ac86a01_z.jpg,02907109-f483-4172-8394-167d4948fbf9,0.41901254653930664,1,bicycle
2667833832_bf9ddddac5_z.jpg,54219b65-3ce2-45d9-9624-7145e830ce98,0.4213557243347168,1,cat
15196353300_2dcb1a1948_z.jpg,f987da6d-f3d8-4bd0-9dcd-a3bbb8c49c16,0.38338732719421387,1,car
1240686712_fbccf26b7f_z.jpg,21a72bd5-a132-4ee4-b31e-c7ad9fc9a2f9,0.35740184783935547,1,cat
8265517869_53c5fb3eff_z.jpg,00dd509e-ebbb-4d83-8bcd-7f4a43672b5a,0.3670227527618408,1,car
432591931_4789d0f0f1_z.jpg,9069cd71-485e-4d2d-b287-d3e891e50fdd,0.4218716621398926,1,car
20843800936_edcdd89338_z.jpg,984b75ef-94ef-4c54-8200-a08865e3793a,0.4675734043121338,1,dog
1570552254_fcac0be216_z.jpg,d0263c42-2714-45f3-87ed-6c6aee77be05,0.38372159004211426,0,dog
2244176071_615b055c30_z.jpg,a924cd54-72c7-4f6e-8d36-f0f9ab5f570e,0.4095480442047119,1,cat
5708252159_5b4ac86a01_z.jpg,1052bc5a-0e84-4ef9-a44e-aef18bc8eaa4,0.415813684463501,1,bicycle
15333662010_2f428f7e2f_z.jpg,85669e31-234a-4e31-94b4-c70023df14ce,0.400418758392334,1,bicycle
8032610600_1dd81d41a4_z.jpg,5815c596-a696-4250-9d92-d961b07974f0,0.3732786178588867,1,car
16850385890_8105762655_z.jpg,42037d6d-b526-4e4c-a64d-3b73bfc4712d,0.3692893981933594,0,person
1444579876_8c02edf580_z.jpg,8d325e64-b3e1-4e7f-8c5b-1d7d61375c5c,0.4131283760070801,1,person
15235483580_08696e0988_z.jpg,a15b3985-4854-4af7-8cc0-7a6fb6eb6d61,0.381594181060791,0,bicycle
258460789_c4baeb300a_z.jpg,e80b66a1-07bc-4bc3-b2e6-7dad78012398,0.4223933219909668,1,cat
4975505027_db5864977d_z.jpg,c4a3c7ed-9aae-4efd-b8e1-93741d3e60c8,0.41477537155151367,0,dog
2206074222_69cc088500_z.jpg,a9f92841-6e20-41ac-b008-b160902295d3,0.36398768424987793,1,cat
677743874_168dcb5ed1_z.jpg,2e33b760-c4c7-44eb-8f78-510f859d1282,0.37383437156677246,1,dog
9238365388_d2bb1bb2e4_z.jpg,bbefaba1-f6d7-41bb-bb23-6ea07e7e64f0,0.3702840805053711,1,car
224422461_dddd4c8e99_z.jpg,bc3935f5-c3b6-4db7-8990-734105a944a3,0.4292287826538086,1,bicycle
3968015804_ac83717a19_z.jpg,72a9cee3-1140-44d7-af63-be0112caf069,0.3643982410430908,1,dog
3157735385_c9e7580f03_z.jpg,e6b33d7c-7553-441b-a0a1-ed8568583714,0.4247622489929199,1,car
18608021442_84f7dcfa5c_z.jpg,fe7a7d56-b249-424e-a784-2f634755236f,0.4174165725708008,0,bicycle
16982913298_aa90f2a62b_z.jpg,fa3eadef-82f5-497c-a203-340b3b295680,0.5464820861816406,1,car
3747524_f07f508ba9_z.jpg,d0bb994c-2a13-434b-be7a-2323bf5a36de,0.4398612976074219,1,bicycle
8032610600_1dd81d41a4_z.jpg,e6763323-80c0-4e39-8717-fadddc2ab8b1,0.3561418056488037,1,car
8125475_d0a1063029_z.jpg,c4ac2476-8543-4609-af2a-5be85de6cbe0,0.42765259742736816,1,car
7270802858_c6e2b115e4_z.jpg,88736814-2e3a-47a9-bdcb-2667b7407ccc,0.5540337562561035,1,dog
3452990622_cfb5fba34a_z.jpg,a769beec-2bac-4175-8614-acfa3f9964cd,0.4201338291168213,1,bicycle
15083791924_c7195faca3_z.jpg,089864e3-09b5-41aa-b16a-d033a7405be7,0.35662245750427246,1,person
16104664631_cce4a9a58c_z.jpg,7539e6bd-8a8d-43dd-8e4d-058606779293,0.43712949752807617,1,person
412652687_4d6cb46129_z.jpg,3553b1a2-9fbe-4495-b6d1-e3097a913f33,0.4156768321990967,1,cat
6985531639_71621c1e69_z.jpg,c2184b58-a431-4109-8a69-03a4689f9be4,0.35982728004455566,1,person
5513074265_5b31a2339b_z.jpg,50c42646-07ca-4d12-af54-573eaed6f770,0.36839914321899414,1,person
34095624_ce7c705614_z.jpg,c69f01fe-fafd-4a0a-9150-550054833018,0.42270994186401367,1,dog
7175939730_9a03853d4c_z.jpg,a92a0241-8db6-46a9-9210-f0459f529714,0.4166147708892822,0,cat
432591931_4789d0f0f1_z.jpg,55c01cb8-9418-4fc8-87e1-d1a9a6862624,0.4080073833465576,1,car
6459633873_5effb4b6e5_z.jpg,68a5eac9-2d33-4059-8cf8-dd2259f47b9f,0.3852367401123047,1,bicycle
4386974407_c2915fa9b1_z.jpg,60bcfd73-bbb2-46fe-b141-14f4c2b3b762,0.4010796546936035,1,person
