Image ID,Model,Class,Correctly detect,Number of objects detected,Width,Height,Object width,Object height,Object to Image percentage
4730790029_bdc24fcb8c_z.jpg,aggregated,cat,1,2,639,428,462.0,412.0,0.6959764819446272
4730790029_bdc24fcb8c_z.jpg,yolov5n,cat,0,1,639,428,0,0,0
4730790029_bdc24fcb8c_z.jpg,yolov8n,cat,1,1,639,428,462.0,412.0,0.6959764819446272
16104664631_cce4a9a58c_z.jpg,aggregated,person,1,2,620,480,98.0,86.0,0.02831989247311828
16104664631_cce4a9a58c_z.jpg,yolov8n,person,1,2,620,480,98.0,86.0,0.02831989247311828
858829152_629399f0a4_z.jpg,aggregated,cat,1,1,480,640,412.0,481.0,0.6450911458333334
858829152_629399f0a4_z.jpg,yolov5n,cat,0,1,480,640,0,0,0
858829152_629399f0a4_z.jpg,yolov8n,cat,1,1,480,640,412.0,481.0,0.6450911458333334
8874948232_195679aa4e_z.jpg,aggregated,person,1,12,640,427,311.0,343.0,0.390343237704918
8874948232_195679aa4e_z.jpg,yolov5n,person,1,5,640,427,128.4241943359375,241.72118377685547,0.11359356074528597
8874948232_195679aa4e_z.jpg,yolov8n,person,1,8,640,427,311.0,343.0,0.390343237704918
6897439523_236f77f06f_z.jpg,aggregated,dog,1,2,640,452,379.0,323.0,0.42317823561946905
6897439523_236f77f06f_z.jpg,yolov8n,dog,1,2,640,452,379.0,323.0,0.42317823561946905
5878631770_0c5592a1ee_z.jpg,aggregated,dog,1,2,640,427,427.0,323.0,0.5046875
5878631770_0c5592a1ee_z.jpg,yolov5n,dog,0,1,640,427,0,0,0
5878631770_0c5592a1ee_z.jpg,yolov8n,dog,1,2,640,427,427.0,323.0,0.5046875
11381011104_36225e2ccc_z.jpg,aggregated,dog,0,2,640,543,0,0,0
11381011104_36225e2ccc_z.jpg,yolov5n,dog,0,1,640,543,0,0,0
11381011104_36225e2ccc_z.jpg,yolov8n,dog,0,1,640,543,0,0,0
16982913298_aa90f2a62b_z.jpg,aggregated,car,1,6,640,640,142.0,59.0,0.0204541015625
16982913298_aa90f2a62b_z.jpg,yolov5n,car,1,4,640,640,113.93719482421875,58.089141845703125,0.016158481131947157
16982913298_aa90f2a62b_z.jpg,yolov8n,car,1,2,640,640,142.0,59.0,0.0204541015625
2525539133_73f08a9471_z.jpg,aggregated,car,1,2,640,427,440.0,173.0,0.27854215456674475
2525539133_73f08a9471_z.jpg,yolov5n,car,1,1,640,427,465.2743835449219,179.432373046875,0.3054935844459427
2525539133_73f08a9471_z.jpg,yolov8n,car,1,1,640,427,440.0,173.0,0.27854215456674475
5708252159_5b4ac86a01_z.jpg,aggregated,bicycle,1,5,640,480,255.0,165.0,0.136962890625
5708252159_5b4ac86a01_z.jpg,yolov5n,bicycle,1,3,640,480,224.17658233642578,266.50914001464844,0.19448277399057246
5708252159_5b4ac86a01_z.jpg,yolov8n,bicycle,1,3,640,480,255.0,165.0,0.136962890625
342659307_d5d9d36af5_z.jpg,aggregated,car,1,9,640,302,605.0,196.0,0.6135140728476821
342659307_d5d9d36af5_z.jpg,yolov5n,car,0,3,640,302,0,0,0
342659307_d5d9d36af5_z.jpg,yolov8n,car,1,7,640,302,605.0,196.0,0.6135140728476821
2206074222_69cc088500_z.jpg,aggregated,cat,1,2,640,426,637.0,387.0,0.9041923415492957
2206074222_69cc088500_z.jpg,yolov5n,cat,1,1,640,426,625.020751953125,355.94471740722656,0.8159948464187475
2206074222_69cc088500_z.jpg,yolov8n,cat,1,1,640,426,637.0,387.0,0.9041923415492957
7443993440_80892cc39d_z.jpg,aggregated,dog,1,1,640,620,439.0,401.0,0.4436466733870968
7443993440_80892cc39d_z.jpg,yolov8n,dog,1,1,640,620,439.0,401.0,0.4436466733870968
5826499075_8c91ec270b_z.jpg,aggregated,person,1,2,478,640,10.0,21.0,0.0006864539748953974
5826499075_8c91ec270b_z.jpg,yolov5n,person,0,1,478,640,0,0,0
5826499075_8c91ec270b_z.jpg,yolov8n,person,1,2,478,640,10.0,21.0,0.0006864539748953974
4065552857_98aa8a39d4_z.jpg,aggregated,bicycle,1,9,640,427,279.0,257.0,0.26237924473067914
4065552857_98aa8a39d4_z.jpg,yolov5n,bicycle,1,3,640,427,119.10107421875,73.139404296875,0.03187566459117854
4065552857_98aa8a39d4_z.jpg,yolov8n,bicycle,1,7,640,427,279.0,257.0,0.26237924473067914
15983066535_629c335c63_z.jpg,aggregated,person,1,1,640,427,473.0,404.0,0.699253512880562
15983066535_629c335c63_z.jpg,yolov5n,person,1,1,640,427,467.9402313232422,416.11578369140625,0.7125194528608345
15983066535_629c335c63_z.jpg,yolov8n,person,1,1,640,427,473.0,404.0,0.699253512880562
6835338988_c013b40c94_z.jpg,aggregated,cat,1,1,640,441,539.0,390.0,0.7447916666666666
6835338988_c013b40c94_z.jpg,yolov8n,cat,1,1,640,441,539.0,390.0,0.7447916666666666
3157735385_c9e7580f03_z.jpg,aggregated,car,0,1,640,471,0,0,0
3157735385_c9e7580f03_z.jpg,yolov5n,car,1,1,640,471,636.3687744140625,222.3772735595703,0.4694597698800573
3157735385_c9e7580f03_z.jpg,yolov8n,car,0,1,640,471,0,0,0
5878631770_0c5592a1ee_z.jpg,aggregated,dog,1,2,640,427,427.0,323.0,0.5046875
5878631770_0c5592a1ee_z.jpg,yolov5n,dog,0,1,640,427,0,0,0
5878631770_0c5592a1ee_z.jpg,yolov8n,dog,1,2,640,427,427.0,323.0,0.5046875
16982913298_aa90f2a62b_z.jpg,aggregated,car,1,6,640,640,142.0,59.0,0.0204541015625
16982913298_aa90f2a62b_z.jpg,yolov5n,car,1,4,640,640,113.93719482421875,58.089141845703125,0.016158481131947157
16982913298_aa90f2a62b_z.jpg,yolov8n,car,1,2,640,640,142.0,59.0,0.0204541015625
81717243_2c9fcf3dab_z.jpg,aggregated,dog,1,2,640,508,288.0,340.0,0.30118110236220474
81717243_2c9fcf3dab_z.jpg,yolov5n,dog,1,1,640,508,285.25352478027344,313.04039001464844,0.27465512626190325
81717243_2c9fcf3dab_z.jpg,yolov8n,dog,1,1,640,508,288.0,340.0,0.30118110236220474
6102395478_8c004e1142_z.jpg,aggregated,bicycle,0,1,640,480,0,0,0
6102395478_8c004e1142_z.jpg,yolov8n,bicycle,0,1,640,480,0,0,0
11381011104_36225e2ccc_z.jpg,aggregated,dog,0,2,640,543,0,0,0
11381011104_36225e2ccc_z.jpg,yolov5n,dog,0,1,640,543,0,0,0
11381011104_36225e2ccc_z.jpg,yolov8n,dog,0,1,640,543,0,0,0
2177634493_51ca0597e2_z.jpg,aggregated,dog,0,2,640,640,0,0,0
2177634493_51ca0597e2_z.jpg,yolov5n,dog,0,1,640,640,0,0,0
2177634493_51ca0597e2_z.jpg,yolov8n,dog,0,1,640,640,0,0,0
2167290248_1ac3cbd890_z.jpg,aggregated,dog,0,1,485,639,0,0,0
2167290248_1ac3cbd890_z.jpg,yolov8n,dog,0,1,485,639,0,0,0
5340010485_edeaa88c83_z.jpg,aggregated,car,1,4,639,480,28.0,49.0,0.004473135106937924
5340010485_edeaa88c83_z.jpg,yolov5n,car,1,2,639,480,488.58447265625,263.23291015625,0.41931244325267814
5340010485_edeaa88c83_z.jpg,yolov8n,car,1,3,639,480,28.0,49.0,0.004473135106937924
1134141407_0254c76c4d_z.jpg,aggregated,dog,1,2,640,384,433.0,384.0,0.6765625
1134141407_0254c76c4d_z.jpg,yolov5n,dog,0,1,640,384,0,0,0
1134141407_0254c76c4d_z.jpg,yolov8n,dog,1,1,640,384,433.0,384.0,0.6765625
14811525368_d8b774e40a_z.jpg,aggregated,bicycle,0,3,640,425,0,0,0
14811525368_d8b774e40a_z.jpg,yolov5n,bicycle,0,2,640,425,0,0,0
14811525368_d8b774e40a_z.jpg,yolov8n,bicycle,0,2,640,425,0,0,0
5210291488_fe9939bdf1_z.jpg,aggregated,person,1,16,640,360,35.0,54.0,0.008203125
5210291488_fe9939bdf1_z.jpg,yolov5n,person,1,8,640,360,61.48687744140625,182.87625885009766,0.04880421056796371
5210291488_fe9939bdf1_z.jpg,yolov8n,person,1,11,640,360,35.0,54.0,0.008203125
340359612_df41037e73_z.jpg,aggregated,car,1,3,640,426,608.0,341.0,0.7604460093896713
340359612_df41037e73_z.jpg,yolov5n,car,0,1,640,426,0,0,0
340359612_df41037e73_z.jpg,yolov8n,car,1,2,640,426,608.0,341.0,0.7604460093896713
34095624_ce7c705614_z.jpg,aggregated,dog,1,1,640,480,559.0,455.0,0.8279459635416667
34095624_ce7c705614_z.jpg,yolov8n,dog,1,1,640,480,559.0,455.0,0.8279459635416667
4065552857_98aa8a39d4_z.jpg,aggregated,bicycle,1,9,640,427,279.0,257.0,0.26237924473067914
4065552857_98aa8a39d4_z.jpg,yolov5n,bicycle,1,3,640,427,119.10107421875,73.139404296875,0.03187566459117854
4065552857_98aa8a39d4_z.jpg,yolov8n,bicycle,1,7,640,427,279.0,257.0,0.26237924473067914
8651904899_c2632fe751_z.jpg,aggregated,bicycle,0,4,640,427,0,0,0
8651904899_c2632fe751_z.jpg,yolov5n,bicycle,0,2,640,427,0,0,0
8651904899_c2632fe751_z.jpg,yolov8n,bicycle,0,2,640,427,0,0,0
13472183804_b6c8633f6e_z.jpg,aggregated,dog,1,10,640,500,249.0,269.0,0.209315625
13472183804_b6c8633f6e_z.jpg,yolov5n,dog,0,3,640,500,0,0,0
13472183804_b6c8633f6e_z.jpg,yolov8n,dog,1,8,640,500,249.0,269.0,0.209315625
8132134109_24eaa95e21_z.jpg,aggregated,dog,0,5,639,359,0,0,0
8132134109_24eaa95e21_z.jpg,yolov5n,dog,0,3,639,359,0,0,0
8132134109_24eaa95e21_z.jpg,yolov8n,dog,0,2,639,359,0,0,0
8960442702_6c931904f0_z.jpg,aggregated,person,1,4,640,427,229.0,421.0,0.3527846896955503
8960442702_6c931904f0_z.jpg,yolov5n,person,1,2,640,427,201.3035888671875,424.96812438964844,0.3130401368332611
8960442702_6c931904f0_z.jpg,yolov8n,person,1,2,640,427,229.0,421.0,0.3527846896955503
4479906928_4ab0604d1c_z.jpg,aggregated,person,1,3,480,640,462.0,638.0,0.9594921875
4479906928_4ab0604d1c_z.jpg,yolov5n,person,1,1,480,640,452.19960021972656,616.0194396972656,0.9067830220009228
4479906928_4ab0604d1c_z.jpg,yolov8n,person,1,2,480,640,462.0,638.0,0.9594921875
15837810787_14c16de452_z.jpg,aggregated,cat,1,1,639,425,402.0,265.0,0.39226732946699805
15837810787_14c16de452_z.jpg,yolov8n,cat,1,1,639,425,402.0,265.0,0.39226732946699805
9031823026_3e55960d76_z.jpg,aggregated,dog,0,2,640,384,0,0,0
9031823026_3e55960d76_z.jpg,yolov5n,dog,0,1,640,384,0,0,0
9031823026_3e55960d76_z.jpg,yolov8n,dog,0,1,640,384,0,0,0
489195247_b908298ee6_z.jpg,aggregated,dog,1,4,640,480,316.0,424.0,0.43614583333333334
489195247_b908298ee6_z.jpg,yolov8n,dog,1,4,640,480,316.0,424.0,0.43614583333333334
6098643678_fc8044b5ac_z.jpg,aggregated,person,1,3,640,427,251.0,280.0,0.257172131147541
6098643678_fc8044b5ac_z.jpg,yolov5n,person,1,2,640,427,256.8185272216797,332.8654479980469,0.31281474721107655
6098643678_fc8044b5ac_z.jpg,yolov8n,person,1,3,640,427,251.0,280.0,0.257172131147541
235979174_fcd7ef1374_z.jpg,aggregated,dog,0,3,480,640,0,0,0
235979174_fcd7ef1374_z.jpg,yolov5n,dog,0,1,480,640,0,0,0
235979174_fcd7ef1374_z.jpg,yolov8n,dog,0,2,480,640,0,0,0
84410494_ab268290cf_z.jpg,aggregated,dog,1,1,640,480,428.0,480.0,0.66875
84410494_ab268290cf_z.jpg,yolov8n,dog,1,1,640,480,428.0,480.0,0.66875
8526465743_29a9320d16_z.jpg,aggregated,cat,1,1,612,612,530.0,610.0,0.8631829638173352
8526465743_29a9320d16_z.jpg,yolov8n,cat,1,1,612,612,530.0,610.0,0.8631829638173352
5816846412_7b6fa97da0_z.jpg,aggregated,bicycle,1,5,640,427,452.0,396.0,0.654976580796253
5816846412_7b6fa97da0_z.jpg,yolov5n,bicycle,1,2,640,427,154.07727813720703,253.51844787597656,0.14293556940244387
5816846412_7b6fa97da0_z.jpg,yolov8n,bicycle,1,3,640,427,452.0,396.0,0.654976580796253
5599702283_8562638984_z.jpg,aggregated,bicycle,1,6,640,427,542.0,388.0,0.7695257611241217
5599702283_8562638984_z.jpg,yolov5n,bicycle,0,1,640,427,0,0,0
5599702283_8562638984_z.jpg,yolov8n,bicycle,1,5,640,427,542.0,388.0,0.7695257611241217
5340010485_edeaa88c83_z.jpg,aggregated,car,1,4,639,480,28.0,49.0,0.004473135106937924
5340010485_edeaa88c83_z.jpg,yolov5n,car,1,2,639,480,488.58447265625,263.23291015625,0.41931244325267814
5340010485_edeaa88c83_z.jpg,yolov8n,car,1,3,639,480,28.0,49.0,0.004473135106937924
750912399_32f415ecb1_z.jpg,aggregated,car,1,2,640,477,49.0,55.0,0.008827961215932914
750912399_32f415ecb1_z.jpg,yolov5n,car,1,1,640,477,53.1898193359375,53.90618896484375,0.009392231564887797
750912399_32f415ecb1_z.jpg,yolov8n,car,1,2,640,477,49.0,55.0,0.008827961215932914
890847666_ec8eaecf88_z.jpg,aggregated,dog,1,4,480,640,266.0,371.0,0.3212434895833333
890847666_ec8eaecf88_z.jpg,yolov5n,dog,0,2,480,640,0,0,0
890847666_ec8eaecf88_z.jpg,yolov8n,dog,1,2,480,640,266.0,371.0,0.3212434895833333
5210291488_fe9939bdf1_z.jpg,aggregated,person,1,16,640,360,35.0,54.0,0.008203125
5210291488_fe9939bdf1_z.jpg,yolov5n,person,1,8,640,360,61.48687744140625,182.87625885009766,0.04880421056796371
5210291488_fe9939bdf1_z.jpg,yolov8n,person,1,11,640,360,35.0,54.0,0.008203125
2918687630_5108e3e2ab_z.jpg,aggregated,car,1,2,640,427,52.003173828125,29.986236572265625,0.005706160249263789
2918687630_5108e3e2ab_z.jpg,yolov5n,car,1,2,640,427,52.003173828125,29.986236572265625,0.005706160249263789
2918687630_5108e3e2ab_z.jpg,yolov8n,car,0,1,640,427,0,0,0
14265143426_0770389597_z.jpg,aggregated,bicycle,0,4,640,407,0,0,0
14265143426_0770389597_z.jpg,yolov5n,bicycle,0,1,640,407,0,0,0
14265143426_0770389597_z.jpg,yolov8n,bicycle,0,3,640,407,0,0,0
6897439523_236f77f06f_z.jpg,aggregated,dog,1,2,640,452,379.0,323.0,0.42317823561946905
6897439523_236f77f06f_z.jpg,yolov8n,dog,1,2,640,452,379.0,323.0,0.42317823561946905
2667833832_bf9ddddac5_z.jpg,aggregated,cat,1,3,480,640,389.0,593.0,0.7509016927083333
2667833832_bf9ddddac5_z.jpg,yolov5n,cat,0,1,480,640,0,0,0
2667833832_bf9ddddac5_z.jpg,yolov8n,cat,1,2,480,640,389.0,593.0,0.7509016927083333
3747524_f07f508ba9_z.jpg,aggregated,bicycle,1,9,504,640,344.0,306.0,0.3263392857142857
3747524_f07f508ba9_z.jpg,yolov5n,bicycle,1,3,504,640,349.7214050292969,237.6253662109375,0.2576347871462372
3747524_f07f508ba9_z.jpg,yolov8n,bicycle,1,6,504,640,344.0,306.0,0.3263392857142857
1492095547_3a48dbc70b_z.jpg,aggregated,cat,0,2,640,480,0,0,0
1492095547_3a48dbc70b_z.jpg,yolov5n,cat,0,1,640,480,0,0,0
1492095547_3a48dbc70b_z.jpg,yolov8n,cat,1,2,640,480,565.0,350.0,0.6437174479166666
7782123174_dbda292cef_z.jpg,aggregated,car,1,3,640,480,94.0,131.0,0.04008463541666667
7782123174_dbda292cef_z.jpg,yolov5n,car,1,1,640,480,579.4022216796875,361.28094482421875,0.6814029364638312
