Image ID,Model,correctly_detect,true_class
6076857457_7a06e6ab35_z_degraded.jpg,aggregated,1,bicycle
6076857457_7a06e6ab35_z_degraded.jpg,yolov5n,1,bicycle
6076857457_7a06e6ab35_z_degraded.jpg,yolov8n,1,bicycle
2433290346_8482cac895_z_degraded.jpg,aggregated,1,car
2433290346_8482cac895_z_degraded.jpg,yolov5n,1,car
2433290346_8482cac895_z_degraded.jpg,yolov8n,1,car
9549882142_c59c04bac0_z_degraded.jpg,aggregated,1,car
9549882142_c59c04bac0_z_degraded.jpg,yolov5n,1,car
9549882142_c59c04bac0_z_degraded.jpg,yolov8n,1,car
7270802858_c6e2b115e4_z_degraded.jpg,aggregated,0,dog
7270802858_c6e2b115e4_z_degraded.jpg,yolov5n,0,dog
7270802858_c6e2b115e4_z_degraded.jpg,yolov8n,0,dog
4781592393_07d35524ef_z_degraded.jpg,aggregated,1,cat
4781592393_07d35524ef_z_degraded.jpg,yolov5n,0,cat
4781592393_07d35524ef_z_degraded.jpg,yolov8n,1,cat
5708252159_5b4ac86a01_z_degraded.jpg,aggregated,1,bicycle
5708252159_5b4ac86a01_z_degraded.jpg,yolov5n,1,bicycle
5708252159_5b4ac86a01_z_degraded.jpg,yolov8n,1,bicycle
11484364375_4180af41fc_z_degraded.jpg,aggregated,1,bicycle
11484364375_4180af41fc_z_degraded.jpg,yolov5n,0,bicycle
11484364375_4180af41fc_z_degraded.jpg,yolov8n,1,bicycle
201365540_d1af73d7cd_z_degraded.jpg,aggregated,1,person
201365540_d1af73d7cd_z_degraded.jpg,yolov5n,0,person
201365540_d1af73d7cd_z_degraded.jpg,yolov8n,1,person
3446761063_9cdc26f36c_z_degraded.jpg,aggregated,1,bicycle
3446761063_9cdc26f36c_z_degraded.jpg,yolov5n,1,bicycle
3446761063_9cdc26f36c_z_degraded.jpg,yolov8n,1,bicycle
7163490183_0dff14b5d6_z_degraded.jpg,aggregated,1,person
7163490183_0dff14b5d6_z_degraded.jpg,yolov5n,1,person
7163490183_0dff14b5d6_z_degraded.jpg,yolov8n,0,person
6499183869_45bb8908c3_z_degraded.jpg,aggregated,1,person
6499183869_45bb8908c3_z_degraded.jpg,yolov5n,1,person
6499183869_45bb8908c3_z_degraded.jpg,yolov8n,1,person
19299023856_077e45c472_z_degraded.jpg,aggregated,1,car
19299023856_077e45c472_z_degraded.jpg,yolov5n,1,car
19299023856_077e45c472_z_degraded.jpg,yolov8n,1,car
2553120516_dd48754dc4_z_degraded.jpg,aggregated,1,cat
2553120516_dd48754dc4_z_degraded.jpg,yolov5n,0,cat
2553120516_dd48754dc4_z_degraded.jpg,yolov8n,1,cat
8464801471_b2b61acc7b_z_degraded.jpg,aggregated,0,cat
8464801471_b2b61acc7b_z_degraded.jpg,yolov5n,0,cat
8464801471_b2b61acc7b_z_degraded.jpg,yolov8n,0,cat
412652687_4d6cb46129_z_degraded.jpg,aggregated,1,cat
412652687_4d6cb46129_z_degraded.jpg,yolov5n,0,cat
412652687_4d6cb46129_z_degraded.jpg,yolov8n,1,cat
19299023856_077e45c472_z_degraded.jpg,aggregated,1,car
19299023856_077e45c472_z_degraded.jpg,yolov5n,1,car
19299023856_077e45c472_z_degraded.jpg,yolov8n,1,car
7664570690_6ab2f0ab5d_z_degraded.jpg,aggregated,0,cat
7664570690_6ab2f0ab5d_z_degraded.jpg,yolov5n,0,cat
7664570690_6ab2f0ab5d_z_degraded.jpg,yolov8n,0,cat
6455179889_6db5a93bfa_z_degraded.jpg,aggregated,1,cat
6455179889_6db5a93bfa_z_degraded.jpg,yolov5n,0,cat
6455179889_6db5a93bfa_z_degraded.jpg,yolov8n,1,cat
241832541_43848dabf3_z_degraded.jpg,aggregated,1,dog
241832541_43848dabf3_z_degraded.jpg,yolov5n,0,dog
241832541_43848dabf3_z_degraded.jpg,yolov8n,1,dog
858829152_629399f0a4_z_degraded.jpg,aggregated,1,cat
858829152_629399f0a4_z_degraded.jpg,yolov5n,0,cat
